,ID,Name,District,Upazila,Eiin,Mobile,Management,Mpo,Post Office,Address,Is Approve,Is Active, 
 ,863,Karimgonj PILOT HIGH SCHOOL,Kishoreganj,Karimgonj,110356,1724579772,PUBLIC,Yes,Karimgonj,Karimgonj,,Yes,"View
     
     
         Edit"
 ,864,HATRAPARA HIGH SCHOOL,Kishoreganj,Karimgonj,110357,1727321640,PRIVATE,Yes,NIL GANJ,HATRAPARA,,Yes,"View
     
     
         Edit"
 ,865,CHATAL S C HIGH SCHOOL,Kishoreganj,Karimgonj,110358,1309110358,PRIVATE,Yes,KORIMGANJ,CHATOL,,Yes,"View
     
     
         Edit"
 ,866,GUZADIA A H SECONDARY SCHOOL,Kishoreganj,Karimgonj,110359,1772835596,PRIVATE,Yes,GUZADIA,GUZADIA,,Yes,"View
     
     
         Edit"
 ,867,GUNDHAR UNION HIGH SCHOOL,Kishoreganj,Karimgonj,110361,1729846278,PRIVATE,Yes,JOYKA,KADIM MAIZ HATI,,Yes,"View
     
     
         Edit"
 ,868,DEHUNDA HIGH SCHOOL,Kishoreganj,Karimgonj,110362,1910584660,PRIVATE,Yes,DENHUNDA BAZAR,CHAR DEHUNDA,,Yes,"View
     
     
         Edit"
 ,869,KANDAIL HIGH SCHOOL,Kishoreganj,Karimgonj,110363,1732767740,PRIVATE,Yes,JOYKA,KANDAIL,,Yes,"View
     
     
         Edit"
 ,870,ZAFRABAD HIGH SCHOOL,Kishoreganj,Karimgonj,110364,1309110364,PRIVATE,Yes,JUNGLEBARI,JAFRA BAD,,Yes,"View
     
     
         Edit"
 ,871,GUJADIA SHIMULTOLA  HIGH SCHOOL,Kishoreganj,Karimgonj,110365,1731584614,PRIVATE,Yes,NAMAPARA,PATHARIA PARA,,Yes,"View
     
     
         Edit"
 ,872,PARADISE JUNIOR SCHOOL,Kishoreganj,Karimgonj,138621,1613590047,PRIVATE,No,NAMAPARA,RAMNAGAR,,Yes,"View
     
     
         Edit"
 ,873,HAZI ABDUL MANNAN BUHIYAN JUNIOR SCHOOL,Kishoreganj,Karimgonj,138747,1740988373,PRIVATE,No,URDIGI,SUDHI,,Yes,"View
     
     
         Edit"
 ,874,ALHAJ ARSHAD UDDIN JUNIOR GIRLS SCHOOL,Kishoreganj,Karimgonj,138912,1711593815,PRIVATE,No,NIAMATPUR,RAUHA,,Yes,"View
     
     
         Edit"
 ,875,SALAUDDIN AHMED IDEAL SCHOOL,Kishoreganj,Karimgonj,138935,1623904628,PRIVATE,No,BOULAI,JALLABAD,,Yes,"View
     
     
         Edit"
 ,876,BIR KASHIM NAGAR F.U. HIGH SCHOOL,Kishoreganj,Kuliarchar,110498,1724292741,PRIVATE,Yes,BIR KASHIM NAGAR,BIR KASHIM NAGAR,,Yes,"View
     
     
         Edit"
 ,877,KULUAR CHAR PILOT MODEL GOVT. HIGH SCHOOL,Kishoreganj,Kuliarchar,110501,1309110501,PUBLIC,Yes,Kuliarchar,KULUAR  CHAR,,Yes,"View
     
     
         Edit"
 ,878,BEGUM NURUNNAHAR PILOT GIRLS HIGH SCHOOL,Kishoreganj,Kuliarchar,110502,1741907004,PRIVATE,Yes,Kuliarchar,SHAHID SALIM SARAK,,Yes,"View
     
     
         Edit"
 ,879,AGARPUR G.C HIGH SCHOOL,Kishoreganj,Kuliarchar,110503,1913736196,PRIVATE,Yes,SARARCHAR,AGARPUR,,Yes,"View
     
     
         Edit"
 ,880,FARID PUR UNION A. HAMID HIGH SCHOOL,Kishoreganj,Kuliarchar,110504,1712760183,PRIVATE,Yes,NOLBAID,FARIDPUR,,Yes,"View
     
     
         Edit"
 ,881,LAKSHMIPUR B. L. HIGH SCHOOL,Kishoreganj,Kuliarchar,110505,1732349587,PRIVATE,Yes,LAXMIPUR,LAKSHMIPUR,,Yes,"View
     
     
         Edit"
 ,882,CHHAYSUTI UNION HIGH SCHOOL,Kishoreganj,Kuliarchar,110506,1309110506,PRIVATE,Yes,CHHAYSUTI,CHHAYSUTI,,Yes,"View
     
     
         Edit"
 ,883,EMAD UDDIN HIGH SCHOOL,Kishoreganj,Kuliarchar,110507,1712953249,PRIVATE,Yes,DUMRA KANDA,DUMRAKANDA,,Yes,"View
     
     
         Edit"
 ,884,GOBARIA HIGH SCHOOL,Kishoreganj,Kuliarchar,110508,1309110508,PRIVATE,Yes,LAXMIPUR,PURBO GOBARIA,,Yes,"View
     
     
         Edit"
 ,885,MUSA MIA HIGH SCHOOL,Kishoreganj,Kuliarchar,110509,1309110509,PRIVATE,Yes,Kuliarchar,Ali Albori,,Yes,"View
     
     
         Edit"
 ,886,ABDULLAPUR-BARACHARA IVY RAHMAN HIGH SCHOOL,Kishoreganj,Kuliarchar,134529,1714974802,PRIVATE,Yes,LAKSMIPUR,BARACHARA,,Yes,"View
     
     
         Edit"
 ,887,LION  MAJIB MUNA JUNIOR GIRLS SCHOOL,Kishoreganj,Kuliarchar,134540,1726733922,PRIVATE,Yes,CHHAYSUTI,NOAGAON,,Yes,"View
     
     
         Edit"
 ,888,JANATA IDEAL JUNIOR HIGH SCHOOL,Kishoreganj,Kuliarchar,134551,1309134551,PRIVATE,Yes,CHHAYSUTI,BARO CHHAYSUTI,,Yes,"View
     
     
         Edit"
 ,889,BANGLA BAZAR ADARSHA HIGH SCHOOL,Kishoreganj,Kuliarchar,135477,1711576217,PRIVATE,No,NALBAID,FARIDPUR,,Yes,"View
     
     
         Edit"
 ,890,GHAGRA ABDUL GANI HIGH SCHOOL,Kishoreganj,Mithamoin,110513,1309110513,PRIVATE,Yes,BHATI GHAGRA,GHAGRA,,Yes,"View
     
     
         Edit"
 ,891,M. A. GONI BHUYAIN HIGH SCHOOL,Kishoreganj,Mithamoin,110514,1718001363,PRIVATE,Yes,DHAKI,ATPASHA,,Yes,"View
     
     
         Edit"
 ,892,GOVT. TAMIZA KHATUN GIRLS HIGH SCHOOL,Kishoreganj,Mithamoin,110515,1712566888,PUBLIC,No,Mithamoin,Mithamoin,,Yes,"View
     
     
         Edit"
 ,893,GOPEDIGHI J.N HIGH SCHOOL,Kishoreganj,Mithamoin,110516,1716722668,PRIVATE,Yes,GOPIDIGHI,GOPEDIGHI,,Yes,"View
     
     
         Edit"
 ,894,HAJI TAYEB UDDIN HIGH SCHOOL,Kishoreganj,Mithamoin,110517,1912276068,PRIVATE,Yes,MITHAMOIN,MITHAMOIN,,Yes,"View
     
     
         Edit"
 ,895,KATKHAL HIGH SCHOOL,Kishoreganj,Mithamoin,110518,1712420870,PRIVATE,Yes,KHATKHAL,KATKHAL,,Yes,"View
     
     
         Edit"
 ,896,KANCHANPUR HAOR HIGH SCHOOL,Kishoreganj,Mithamoin,110519,1825395169,PRIVATE,Yes,KANCHANPUR,KANCHANPUR,,Yes,"View
     
     
         Edit"
 ,897,DHAKI FUL BARIA SECONDARY SCHOOL,Kishoreganj,Mithamoin,110520,1719872299,PRIVATE,Yes,DHAKI,DHAKI,,Yes,"View
     
     
         Edit"
 ,898,CHARIGRAM HIGH SCHOOL,Kishoreganj,Mithamoin,110521,1781818974,PRIVATE,Yes,DHAKI,CHARIGRAM,,Yes,"View
     
     
         Edit"
 ,899,DHALAI BAGADIA HIGH SCHOOL,Kishoreganj,Mithamoin,110522,1714991678,PRIVATE,Yes,GOPDHIGI,DHALAI BAGADIA,,Yes,"View
     
     
         Edit"
 ,900,BOIRATI SESDP MODEL HIGH SCHOOL,Kishoreganj,Mithamoin,135472,1715078129,PRIVATE,Yes,KHATKHAL,BOIRATI,,Yes,"View
     
     
         Edit"
 ,901,PURBA KAKOIR HIGH SCHOOL,Madaripur,Shibchar,110823,1748371166,PRIVATE,Yes,UTRAIL HAT,PURBA KAKOIR,,Yes,"View
     
     
         Edit"
 ,902,ABDUS SATTAR IBNE HALIMA SERAJ ACADEMY,Madaripur,Shibchar,110824,1726392317,PRIVATE,Yes,VENNATALA,SOTARPAR,,Yes,"View
     
     
         Edit"
 ,903,UTRAIL M.L. HIGH SCHOOL,Madaripur,Shibchar,110825,1754928295,PRIVATE,Yes,UTRAIL,UTRAIL,,Yes,"View
     
     
         Edit"
 ,904,DITTIA KHANDO KHALIFA KANDI LITON CHOWDHURY. HIGH SCHOOL,Madaripur,Shibchar,110826,1718901698,PRIVATE,Yes,SIKDARHAT,NEAMOT KANDI,,Yes,"View
     
     
         Edit"
 ,905,UMEDPUR OZIFA RABIULLAH LYCEUM H S,Madaripur,Shibchar,110827,1309110827,PRIVATE,Yes,UMEDPUR,UMEDPUR,,Yes,"View
     
     
         Edit"
 ,906,SHEIKH FAZILLATUNNESA GOVT. PILOT GIRL'S HIGH SCHOOL,Madaripur,Shibchar,110828,1718105070,PUBLIC,Yes,BARHAMGANJ,GUATALA,,Yes,"View
     
     
         Edit"
 ,907,KAHN KANDI SYED ASHRAF ALI HIGH SCHOOL,Madaripur,Shibchar,110829,1782206684,PRIVATE,Yes,KHANKANDI,KAHN KANDI,,Yes,"View
     
     
         Edit"
 ,908,SHIBCHAR NANDAKUMAR INSTITUTION,Madaripur,Shibchar,110830,1718077274,PRIVATE,Yes,BAR HAMGANJ,GUYA TOLA BOHAR CHAR,,Yes,"View
     
     
         Edit"
 ,909,VADRASON G.C.ACADEMY,Madaripur,Shibchar,110831,1719606332,PRIVATE,Yes,UMEDPUR,UMADPUR,,Yes,"View
     
     
         Edit"
 ,910,PANCH CHAR HIGH SCHOOL,Madaripur,Shibchar,110832,1771641394,PRIVATE,Yes,PANCH CHAR,PANCH CHAR,,Yes,"View
     
     
         Edit"
 ,911,MADBARERCHAR R.M. HIGH SCHOOL,Madaripur,Shibchar,110833,1814777867,PRIVATE,Yes,MADBARER CHAR,MADBARERCHAR,,Yes,"View
     
     
         Edit"
 ,912,DATTAPARA T.N ACADEMY,Madaripur,Shibchar,110834,1716374953,PRIVATE,Yes,CHAR DATTAPARA,DATTA PARA,,Yes,"View
     
     
         Edit"
 ,913,MUNSHI KADIRPUR HIGH SCHOOL,Madaripur,Shibchar,110835,1718278483,PRIVATE,Yes,MUNSHI KADIRPUR,MUNSHI KADIRPUR,,Yes,"View
     
     
         Edit"
 ,914,TAKERHAT HIGH SCHOOL,Madaripur,Shibchar,110836,1724300805,PRIVATE,Yes,BAHERATALA,SANERBAT GOPALPUR,,Yes,"View
     
     
         Edit"
 ,915,VANDARI KANDI A.M. HIGH SCHOOL,Madaripur,Shibchar,110837,1717350238,PRIVATE,Yes,BHANDARI KANDI,BHANDARI,,Yes,"View
     
     
         Edit"
 ,916,KATHALBARI HIGH SCHOOL,Madaripur,Shibchar,110838,1740602688,PRIVATE,Yes,CHAR CHANDRA,BAGHIA,,Yes,"View
     
     
         Edit"
 ,917,SARKARERCHAR H.A.U.P. HIGH SCHOOL,Madaripur,Shibchar,110839,1712503475,PRIVATE,Yes,BAHERATALA,SARKARERCHAR,,Yes,"View
     
     
         Edit"
 ,918,SANNYASIR CHAR HIGH SCHOOL,Madaripur,Shibchar,110840,1309110840,PRIVATE,Yes,SANNYASIR CHAR,SANNYASIR CHAR,,Yes,"View
     
     
         Edit"
 ,919,MANIKPUR HIGH SCHOOL,Madaripur,Shibchar,110841,1727890577,PRIVATE,Yes,KADIRPUR,MANIKPUR,,Yes,"View
     
     
         Edit"
 ,920,MOHAMMAD SHAHEED HOSSAIN HIGH SCHOOL,Madaripur,Shibchar,110842,1719582834,PRIVATE,Yes,BAHADURPUR,HOGLARMATH DHALIKANDI,,Yes,"View
     
     
         Edit"
 ,921,SHIRUAIL HIGH SCHOOL,Madaripur,Shibchar,110843,1309110843,PRIVATE,Yes,HAT SHIRUAIL,SHIRUAIL,,Yes,"View
     
     
         Edit"
 ,922,CHAR KAMAR KANDI HIGH SCHOOL,Madaripur,Shibchar,110844,1723577636,PRIVATE,Yes,NILKHI BANDAR,CHARKAMAR KANDI,,Yes,"View
     
     
         Edit"
 ,923,UMEDPUR GIRLS HIGH SCHOOL,Madaripur,Shibchar,110845,1714821484,PRIVATE,Yes,UMEDPUR,UMEDPUR,,Yes,"View
     
     
         Edit"
 ,924,BAZITPUR HAZERA KHATUN HIGH SCHOOL,Madaripur,Shibchar,110846,1309110846,PRIVATE,Yes,SOLENAMA BAZITPUR,BAZITPUR,,Yes,"View
     
     
         Edit"
 ,925,RAJARCHAR HIGH SCHOOL,Madaripur,Shibchar,110847,1617788108,PRIVATE,Yes,JAMEATUL ISLAMIA,RAJARCHAR,,Yes,"View
     
     
         Edit"
 ,926,HAZI BASER MOULAVI  HIGH SCHOOL,Madaripur,Shibchar,110848,1309110848,PRIVATE,Yes,VENNATALA,Gajaria,,Yes,"View
     
     
         Edit"
 ,927,HOGLAR MATH S.K.P HIGH SCHOOL,Madaripur,Shibchar,110849,1720648322,PRIVATE,Yes,HOGLAR MATH,HOGLAR MATH,,Yes,"View
     
     
         Edit"
 ,928,NARIKEL BARI HIGH SCHOOL,Madaripur,Shibchar,110850,1718795732,PRIVATE,Yes,PURBA KHAS BANDAR KHOLA,MOIJUDDIN HAZIR KANDI,,Yes,"View
     
     
         Edit"
 ,929,ELIAS AHMED CHOWDHURY JUNIOR GIRLS SCHOOL,Madaripur,Shibchar,110851,1822962082,PRIVATE,Yes,SANNASIRCHAR,UTTAR PATKANDA,,Yes,"View
     
     
         Edit"
 ,930,SIKDERHAT HIGH SCHOOL,Madaripur,Shibchar,110852,1309110852,PRIVATE,Yes,MADBARCHAR,TAHER SIKDER KANDI,,Yes,"View
     
     
         Edit"
 ,931,BAHERATALA GIRLS HIGH SCHOOL,Madaripur,Shibchar,110853,1716601183,PRIVATE,Yes,BAHERATALA,BAHERTALA,,Yes,"View
     
     
         Edit"
 ,932,KUTUBPUR HIGH SCHOOL,Madaripur,Shibchar,110854,1727688662,PRIVATE,Yes,KUTUBPUR,92 NO KUTUBPUR,,Yes,"View
     
     
         Edit"
 ,933,SALEH ADORSHA HIGH SCHOOL,Madaripur,Shibchar,110855,1717314165,PRIVATE,Yes,BARHAMGANJ,GUATALA,,Yes,"View
     
     
         Edit"
 ,934,PANCHAR GIRLS HIGH SCHOOL,Madaripur,Shibchar,110856,1712650049,PRIVATE,Yes,PANCHAR,DHAIYAR CHAR,,Yes,"View
     
     
         Edit"
 ,935,BAKHARER KANDI ADARSHA HIGH SCHOOL,Madaripur,Shibchar,110857,1716560280,PRIVATE,Yes,PANCHCHAR,BAKHRER KANDI,,Yes,"View
     
     
         Edit"
 ,936,CHAR JANNAJAT EA CHOW HIGH SCHOOL,Madaripur,Shibchar,110858,1716759879,PRIVATE,Yes,CHARJANAJAT,4658/CHAR JANNAJAT,,Yes,"View
     
     
         Edit"
 ,937,CHAR CHANDRA HIGH SCHOOL,Madaripur,Shibchar,110859,1727124374,PRIVATE,Yes,CHAR CHANDRA,CHARCANDRA,,Yes,"View
     
     
         Edit"
 ,938,NILOKHI BANDOR,Madaripur,Shibchar,110860,1731423572,PRIVATE,Yes,NILOKHI BANDAR,NILOKHI,,Yes,"View
     
     
         Edit"
 ,939,SURJANAGAR MAHFUJA NISHAT GIRLS HIGH SCHOOL,Madaripur,Shibchar,110861,1718456542,PRIVATE,Yes,DATTAPARA,GUPTARKANDI,,Yes,"View
     
     
         Edit"
 ,940,BASHKANDI HIGH SCHOOL,Madaripur,Shibchar,133868,1795455148,PRIVATE,Yes,SOLENAMA BAZITPUR,BASHKANDI,,Yes,"View
     
     
         Edit"
 ,941,NURUDDIN MATHBAREAKANDI S.E.D.P.MODEL SCHOOL,Madaripur,Shibchar,134699,1720921502,PRIVATE,Yes,MATHABARERCHAR,CHOYTAMOLLA KANDI,,Yes,"View
     
     
         Edit"
 ,942,KROCKCHAR HIGH SCHOOL,Madaripur,Shibchar,135488,1309135488,PRIVATE,Yes,BHADRASON BAZAR,MAJID SIKDARER KANDI,,Yes,"View
     
     
         Edit"
 ,943,ARFAN INTERNATIONAL  HIGH SCHOOL,Madaripur,Shibchar,136937,1712961007,PRIVATE,No,BABLATOLA,BADSHAKANDI,,Yes,"View
     
     
         Edit"
 ,944,NOOR E ALAM CHOWDHURY JUNIOR HIGH SCHOOL,Madaripur,Shibchar,138277,1762262052,PRIVATE,No,BAHERATALA,JAWKANDI,,Yes,"View
     
     
         Edit"
 ,945,TEROSREE K N INSTITUTION,Manikganj,Gior,110908,1309110908,PRIVATE,Yes,TEROSREE,TEROSREE,,Yes,"View
     
     
         Edit"
 ,946,Gior D.N. PILOT HIGH SCHOOL,Manikganj,Gior,110909,1932791087,PRIVATE,Yes,Gior,Gior,,Yes,"View
     
     
         Edit"
 ,947,KALTA AVOYA CHARAN  HIGH SCHOOL,Manikganj,Gior,110910,1718888666,PRIVATE,Yes,RAMDIANALI,KALTA,,Yes,"View
     
     
         Edit"
 ,948,Gior PILOT GIRLS HIGH SCHOOL,Manikganj,Gior,110912,1716705503,PRIVATE,Yes,Gior,Gior,,Yes,"View
     
     
         Edit"
 ,949,SINGURI UNION  HIGH SCHOOL,Manikganj,Gior,110913,1726918981,PRIVATE,Yes,BANGALA,SINGJURI,,Yes,"View
     
     
         Edit"
 ,950,BALIAKHORA UNION HIGH SCHOOL,Manikganj,Gior,110914,1716578791,PRIVATE,Yes,PENCHARKANDA,PACHER CANDA,,Yes,"View
     
     
         Edit"
 ,951,SHAHEED SMARANIKA GIRLS HIGH SCHOOL,Manikganj,Gior,110915,1715679797,PRIVATE,Yes,Tara,Jabra,,Yes,"View
     
     
         Edit"
 ,952,BAINYA RAHIZ MOLLA HIGH SCHOOL,Manikganj,Gior,110916,1718700708,PRIVATE,Yes,PUKRIA,BAINYA,,Yes,"View
     
     
         Edit"
 ,953,ANCHALIK HIGH SCHOOL,Manikganj,Gior,110917,1309110917,PRIVATE,Yes,BARATIA,FULHARA-10,,Yes,"View
     
     
         Edit"
 ,954,HELACHIA MAJEDA CHOWDHURY HIGH SCHOOL,Manikganj,Gior,110918,1716487846,PRIVATE,Yes,HALACHIA BAZAR,HELACHIA,,Yes,"View
     
     
         Edit"
 ,955,MANSUR UDDIN ML. HIGH SCHOOL,Manikganj,Gior,110919,1309110919,PRIVATE,Yes,KELLAI,KELLAI,,Yes,"View
     
     
         Edit"
 ,956,KARAJANA A B N HIGH SCHOOL,Manikganj,Gior,110920,1718461777,PRIVATE,Yes,BARATIA,KARJONA,,Yes,"View
     
     
         Edit"
 ,957,KAFIL UDDIN DARJEE HIGH SCHOOL,Manikganj,Gior,110921,1716188297,PRIVATE,Yes,Gior,KUSTA,,Yes,"View
     
     
         Edit"
 ,958,MOUHOLI HIGH SCHOOL,Manikganj,Gior,110922,1714736818,PRIVATE,Yes,BARATIA,MOUHALI,,Yes,"View
     
     
         Edit"
 ,959,UTTAR TARA JANATA HIGH SCHOOL,Manikganj,Gior,110923,1720122729,PRIVATE,Yes,TARA,UTTAR TARA,,Yes,"View
     
     
         Edit"
 ,960,"RAMZAN ALI IDEAL HIGH SCHOOL, TARA",Manikganj,Gior,110924,1717974810,PRIVATE,Yes,TARA,TARA,,Yes,"View
     
     
         Edit"
 ,961,K.B.M HIGH SCHOOL,Manikganj,Gior,110925,1309110925,PRIVATE,Yes,BANGALA,BALIA BADHA,,Yes,"View
     
     
         Edit"
 ,962,HIJULIA V.R.N  HIGH SCHOOL,Manikganj,Gior,110926,1777808022,PRIVATE,Yes,BARATIA,HIJULIA,,Yes,"View
     
     
         Edit"
 ,963,BANGALA DR. GANI SAHERA HIGH SCHOOL,Manikganj,Gior,133877,1720052395,PRIVATE,Yes,BANGALA,BANGALA,,Yes,"View
     
     
         Edit"
 ,964,BEGUM RUPBAN JUNIOR HIGH SCHOOL,Manikganj,Gior,134707,1712468619,PRIVATE,No,BAIKUNTHOPUR,CHARMAIJKHARA,,Yes,"View
     
     
         Edit"
 ,965,MUKTIJODDHA DR MD HAIDER ALI MIAH SCHOOL AND COLLEGE,Manikganj,Gior,138317,1309138317,PRIVATE,No,TARA,MIRZAPUR,,Yes,"View
     
     
         Edit"
 ,966,OXFORD ACADEMY,Manikganj,Shibaloy,111029,1309111029,PRIVATE,Yes,TEOTA,KRISHNOPUR,,Yes,"View
     
     
         Edit"
 ,967,SHIVALAYA GOVT. HIGH SCHOOL,Manikganj,Shibaloy,111031,1714589164,PUBLIC,No,Shibaloy,Shibaloy,,Yes,"View
     
     
         Edit"
 ,968,TEOTA ACADEMY,Manikganj,Shibaloy,111032,1309111032,PRIVATE,Yes,TEOTA,TEOTA,,Yes,"View
     
     
         Edit"
 ,969,NALI BARARIA KRISHNA CHONDRA HIGH SCHOOL,Manikganj,Shibaloy,111033,1309111033,PRIVATE,Yes,NALI,NALI,,Yes,"View
     
     
         Edit"
 ,970,BARANGAIL GOPAL CHANDAR HIGH SCHOOL,Manikganj,Shibaloy,111034,1724334962,PRIVATE,Yes,BARANGAIL,BARANGAIL,,Yes,"View
     
     
         Edit"
 ,971,DHAKAIJORA HAZI KORBAN ALI MEMORIAL INS,Manikganj,Shibaloy,111035,1309111035,PRIVATE,Yes,INTAJGANJ,DHAKAIJORA,,Yes,"View
     
     
         Edit"
 ,972,UPZILA KENDRIO ABUL GANI HIGH SCHOOL,Manikganj,Shibaloy,111036,1309111036,PRIVATE,Yes,TEPRA,NIHANDA,,Yes,"View
     
     
         Edit"
 ,973,JAFARGANJ HIGH SCHOOL,Manikganj,Shibaloy,111037,1309111037,PRIVATE,Yes,JAFARGONJ,JAFARGONJ,,Yes,"View
     
     
         Edit"
 ,974,SHAKRAIL HIGH SCHOOL,Manikganj,Shibaloy,111038,1720153875,PRIVATE,Yes,SHAKRAIL,SHAKRAIL,,Yes,"View
     
     
         Edit"
 ,975,NAYABARI HIGH SCHOOL,Manikganj,Shibaloy,111039,1309111039,PRIVATE,Yes,NAYABARI,NAYABARI,,Yes,"View
     
     
         Edit"
 ,976,UTALI PILOT GIRLS HIGH SCHOOL,Manikganj,Shibaloy,111040,1309111040,PRIVATE,Yes,UTHALI,UTHALI,,Yes,"View
     
     
         Edit"
 ,977,RUPSHA WAHED ALI HIGH SCHOOL,Manikganj,Shibaloy,111041,1309111041,PRIVATE,Yes,RUPSHA,RUPSHA,,Yes,"View
     
     
         Edit"
 ,978,ARICHA BELAYET HOSSAIN HIGH SCHOOL,Manikganj,Shibaloy,111042,1716769795,PRIVATE,Yes,Shibaloy,Shibaloy,,Yes,"View
     
     
         Edit"
 ,979,MOHADEBPUR GIRLS HIGH SCHOOL,Manikganj,Shibaloy,111043,1309111043,PRIVATE,Yes,Mohadevpur,MOHADEBPUR,,Yes,"View
     
     
         Edit"
 ,980,JAMUNABAD HIGH  SCHOOL,Manikganj,Shibaloy,111044,1309111044,PRIVATE,Yes,SAKRAIL,JAMUNABAD,,Yes,"View
     
     
         Edit"
 ,981,SHAIT GHAR TEOTA HIGH SCHOOL,Manikganj,Shibaloy,111045,1309111045,PRIVATE,Yes,TEOTA,SHAIT GHAR,,Yes,"View
     
     
         Edit"
 ,982,ABDUL JALIL ACADEMY,Manikganj,Shibaloy,111046,1723274650,PRIVATE,Yes,Shibaloy,ANOWPUR,,Yes,"View
     
     
         Edit"
 ,983,BARADIA JUNIOR HIGH SCHOOL,Manikganj,Shibaloy,111047,1309111047,PRIVATE,Yes,UTHALI,BARADIA,,Yes,"View
     
     
         Edit"
 ,984,BAJPARA HIGH SCHOOL,Manikganj,Shibaloy,111048,1720337204,PRIVATE,Yes,BUTANI,BAJPARA,,Yes,"View
     
     
         Edit"
 ,985,MOKSED ALI ACADEMY,Manikganj,Shibaloy,133952,1309133952,PRIVATE,No,SAKRAIL,14,,Yes,"View
     
     
         Edit"
 ,986,CHOR MADHONAGOR RUSTOM HOWLADER SESDP MODEL HIGH SCHOOL,Manikganj,Shibaloy,136108,1309136108,PRIVATE,Yes,TEOTA,CHAR MADHYANAGAR,,Yes,"View
     
     
         Edit"
 ,987,TALEBPUR ADARSHA HIGH SCHOOL,Manikganj,Singiar,111055,1309111055,PRIVATE,Yes,IRTA,TALEBPUR,,Yes,"View
     
     
         Edit"
 ,988,MAJIR UDDIN HIGH SCHOOL,Manikganj,Singiar,111056,1714644555,PRIVATE,Yes,JAMIRTA,CHAPRAIL,,Yes,"View
     
     
         Edit"
 ,989,DAKSHIN JAMSHA HIGH SCHOOL,Manikganj,Singiar,111057,1748409631,PRIVATE,Yes,DAKSHIN JAMSHA,DAKSHIN JAMSHA,,Yes,"View
     
     
         Edit"
 ,990,Singiar PILOT GIRLS HIGH SCHOOL,Manikganj,Singiar,111058,1309111058,PRIVATE,Yes,Singiar,Singiar,,Yes,"View
     
     
         Edit"
 ,991,JAMIRTTA S.G. HIGH SCHOOL,Manikganj,Singiar,111059,1710759537,PRIVATE,Yes,JAMIRTA,JAMIRTA,,Yes,"View
     
     
         Edit"
 ,992,JOYMONTOP HIGH SCHOOL,Manikganj,Singiar,111060,1712361871,PRIVATE,Yes,JOYMANTAP,JOYMONTAP,,Yes,"View
     
     
         Edit"
 ,993,Singiar GOVT. HIGH SCHOOL,Manikganj,Singiar,111061,1309111061,PUBLIC,Yes,Singiar,AZIMPUR,,Yes,"View
     
     
         Edit"
 ,994,BAIRA HIGH SCHOOL,Manikganj,Singiar,111062,1710855099,PRIVATE,Yes,BAIRA,BAIRA,,Yes,"View
     
     
         Edit"
 ,995,NAVAGRAM HIGH SCHOOL,Manikganj,Singiar,111063,1712486025,PRIVATE,Yes,BREE KALIAKAIR,NAVAGRAM,,Yes,"View
     
     
         Edit"
 ,996,CHARIGRAM S A KHAN HIGH SCHOOL,Manikganj,Singiar,111064,1309111064,PRIVATE,Yes,CHARIGRAM,BARO CHARIGRAM,,Yes,"View
     
     
         Edit"
 ,997,SHAHORAIL HIGH SCHOOL,Manikganj,Singiar,111065,1716013002,PRIVATE,Yes,SHAHORAIL,SHAHORAIL,,Yes,"View
     
     
         Edit"
 ,998,GOLAIDANGA HIGH SCHOOL,Manikganj,Singiar,111066,1717353232,PRIVATE,Yes,GOLAIDANGA,GOLAIDANGA,,Yes,"View
     
     
         Edit"
 ,999,UNION COUNCIL HIGH SCHOOL,Manikganj,Singiar,111067,1749292985,PRIVATE,Yes,DHALLA BAZAR,DHALLA,,Yes,"View
     
     
         Edit"
 ,1000,RAIDAKSHIN KOHINOOR MEMIRIAL HIGH SCHOOL,Manikganj,Singiar,111068,1713530879,PRIVATE,Yes,JOYMONTOP,RAIDAKSHINÃ‘,,Yes,"View
     
     
         Edit"
 ,1001,KABI NAZRUL HIGH SCHOOL,Manikganj,Singiar,111069,1818815058,PRIVATE,Yes,BAIRA,BAIMAIL,,Yes,"View
     
     
         Edit"
 ,1002,SHANTIPUR AFARSHA HIGH SCHOOL,Manikganj,Singiar,111070,1732406093,PRIVATE,Yes,CHANDHAR,SHANTIPUR,,Yes,"View
     
     
         Edit"
 ,1003,"NOOR MAHOSIN BIDDAYATAN, PARIL",Manikganj,Singiar,111071,1765243444,PRIVATE,Yes,PARIL NWADHA,PARLI NOWADHA,,Yes,"View
     
     
         Edit"
 ,1004,PANISHAIL SHAMSUL ISLAM KHAN HIGH SCHOOL,Manikganj,Singiar,111072,1723555778,PRIVATE,Yes,JAMIRTTA,PANISHAIL,,Yes,"View
     
     
         Edit"
 ,1005,ISLAMPUR NABADIGANTA HIGH SCHOOL,Manikganj,Singiar,111073,1309111073,PRIVATE,Yes,SIRAJPUR,ISLAMPUR,,Yes,"View
     
     
         Edit"
 ,1006,BASHIR UDDIN FOUNDATION HIGH SCHOOL,Manikganj,Singiar,111074,1711510581,PRIVATE,Yes,GOLAIDANGA,UTTOR JAMASHA,,Yes,"View
     
     
         Edit"
 ,1007,BHUMDAKSHIN HIGH SCHOOL,Manikganj,Singiar,111075,1826639331,PRIVATE,Yes,JOYMANTAP,BHUMDAKSHIN,,Yes,"View
     
     
         Edit"
